"Course Code,""Course Title"""
COS120,C++ Programming
COS150,Discrete Structures
COS221,Fundamental Data Structures
COS230,Basics in Java Programming
COS231,Introduction to UNIX
COS235,Computer Architecture
COS315,Software Engineering
COS340,Programming in Python
COS440,Computer Networks
COS491,Senior Project
INF130,Basics in C# Programming
INF241,Website Development
INF270,Analysis and Design of Information Systems
INF370,Information Security
INF280,Database Systems
INF335,Web Server Technologies
INF492,Senior Project INF
INF481,Big Data Analytics
